"Month","Espoo Domestic nights","Espoo Foreign nights","Espoo Average price per night","Espoo Nights spent"
"1995M01",11063,4610,34.53,15673
"1995M02",10866,3865,36.07,14731
"1995M03",13004,5109,35.69,18113
"1995M04",11988,4662,35.12,16650
"1995M05",15291,8017,36.79,23308
"1995M06",19023,12126,29.87,31149
"1995M07",17815,10205,22.89,28020
"1995M08",18333,12786,31.37,31119
"1995M09",14199,7598,36.34,21797
"1995M10",17228,7284,36.58,24512
"1995M11",16210,5542,34.35,21752
"1995M12",11215,4583,30.26,15798
"1996M01",13164,6971,35.04,20135
"1996M02",17445,5178,32.88,22623
"1996M03",18016,8102,36.02,26118
"1996M04",15557,6255,34.15,21812
"1996M05",18668,8690,37.11,27358
"1996M06",18018,11504,39.01,29522
"1996M07",15578,8122,26.39,23700
"1996M08",17985,11928,33.34,29913
"1996M09",15818,9084,40.70,24902
"1996M10",19298,6714,37.07,26012
"1996M11",16770,7616,38.76,24386
"1996M12",10649,6134,34.79,16783
"1997M01",12382,9158,39.82,21540
"1997M02",15587,5008,37.37,20595
"1997M03",16014,7083,37.93,23097
"1997M04",16143,7199,39.67,23342
"1997M05",18684,11804,38.94,30488
"1997M06",19380,11085,38.74,30465
"1997M07",16159,14884,34.49,31043
"1997M08",18962,15574,35.25,34536
"1997M09",16824,9433,39.65,26257
"1997M10",19359,8010,40.57,27369
"1997M11",18129,8990,39.52,27119
"1997M12",12077,7284,37.56,19361
"1998M01",13105,11467,38.73,24572
"1998M02",15510,6842,48.84,22352
"1998M03",17082,9909,43.07,26991
"1998M04",15349,7561,40.99,22910
"1998M05",19306,12523,43.91,31829
"1998M06",20927,15106,42.74,36033
"1998M07",19165,10511,27.66,29676
"1998M08",21522,18565,38.74,40087
"1998M09",19736,10800,47.09,30536
"1998M10",22523,7517,43.12,30040
"1998M11",20899,7053,43.73,27952
"1998M12",13749,5764,42.99,19513
"1999M01",13234,8655,47.44,21889
"1999M02",16213,5184,47.09,21397
"1999M03",19545,9811,46.33,29356
"1999M04",15295,6034,45.67,21329
"1999M05",19950,8717,47.43,28667
"1999M06",21755,12987,46.71,34742
"1999M07",17850,11032,30.42,28882
"1999M08",19703,15614,42.66,35317
"1999M09",19086,8717,49.52,27803
"1999M10",21410,7358,46.74,28768
"1999M11",19347,7803,49.69,27150
"1999M12",12522,6145,47.72,18667
"2000M01",12223,8279,47.97,20502
"2000M02",16640,6569,46.39,23209
"2000M03",20536,8122,47.36,28658
"2000M04",15844,6795,45.82,22639
"2000M05",22808,10159,48.17,32967
"2000M06",19375,13353,48.07,32728
"2000M07",18453,7808,30.49,26261
"2000M08",20646,15371,46.33,36017
"2000M09",19651,9416,45.28,29067
"2000M10",20913,8442,48.90,29355
"2000M11",18984,9451,49.98,28435
"2000M12",9310,5694,50.49,15004
"2001M01",12974,8702,48.90,21676
"2001M02",17470,6617,48.32,24087
"2001M03",17769,8581,49.00,26350
"2001M04",15652,6575,48.46,22227
"2001M05",19992,9494,50.31,29486
"2001M06",22677,11382,47.14,34059
"2001M07",19468,10264,32.08,29732
"2001M08",22210,13707,43.97,35917
"2001M09",19104,8790,51.19,27894
"2001M10",19391,8779,51.22,28170
"2001M11",16789,8216,55.15,25005
"2001M12",8726,5550,54.17,14276
"2002M01",12354,9533,59.72,21887
"2002M02",15001,6109,53.64,21110
"2002M03",15157,7513,53.44,22670
"2002M04",15337,7120,55.28,22457
"2002M05",18999,10793,50.79,29792
"2002M06",18062,12972,46.71,31034
"2002M07",19335,11004,30.67,30339
"2002M08",21183,14875,42.45,36058
"2002M09",16159,11080,55.99,27239
"2002M10",19587,8696,54.29,28283
"2002M11",16877,8919,52.66,25796
"2002M12",7917,6092,54.17,14009
"2003M01",11771,10275,55.56,22046
"2003M02",13610,7343,54.84,20953
"2003M03",15080,7508,53.93,22588
"2003M04",12694,6579,57.08,19273
"2003M05",18491,10201,52.03,28692
"2003M06",16148,11541,50.01,27689
"2003M07",16612,9047,30.11,25659
"2003M08",19752,15262,41.65,35014
"2003M09",16974,9890,56.27,26864
"2003M10",18556,7494,53.07,26050
"2003M11",16383,7795,55.54,24178
"2003M12",8762,5568,59.73,14330
"2004M01",12326,8144,56.65,20470
"2004M02",16586,6800,50.92,23386
"2004M03",14978,7545,61.15,22523
"2004M04",14535,6215,53.96,20750
"2004M05",17991,9960,53.37,27951
"2004M06",17794,13035,50.48,30829
"2004M07",20831,9287,26.21,30118
"2004M08",20488,14881,40.75,35369
"2004M09",18003,11657,56.59,29660
"2004M10",20271,8794,49.74,29065
"2004M11",17793,8965,55.11,26758
"2004M12",9371,5488,56.04,14859
"2005M01",11994,9041,56.46,21035
"2005M02",14345,6891,53.71,21236
"2005M03",15787,8185,52.19,23972
"2005M04",15949,7903,56.98,23852
"2005M05",18351,12505,54.84,30856
"2005M06",18398,14942,48.78,33340
"2005M07",21163,11507,32.53,32670
"2005M08",18858,21837,51.34,40695
"2005M09",16906,11657,55.54,28563
"2005M10",17247,9338,51.79,26585
"2005M11",16769,8615,57.96,25384
"2005M12",10167,6249,52.13,16416
"2006M01",13536,8607,53.67,22143
"2006M02",13660,8185,54.69,21845
"2006M03",15156,9855,59.47,25011
"2006M04",13286,9353,56.93,22639
"2006M05",17801,15568,52.86,33369
"2006M06",18702,17839,50.84,36541
"2006M07",22284,13176,34.29,35460
"2006M08",22318,19626,47.24,41944
"2006M09",17453,17475,62.74,34928
"2006M10",19075,14402,60.63,33477
"2006M11",16556,12932,65.16,29488
"2006M12",10370,8046,55.37,18416
"2007M01",12845,12587,64.11,25432
"2007M02",13857,8936,61.12,22793
"2007M03",16458,11898,60.43,28356
"2007M04",13698,10125,58.71,23823
"2007M05",17181,14573,60.24,31754
"2007M06",17701,18660,53.38,36361
"2007M07",20484,12161,32.00,32645
"2007M08",21661,16360,48.47,38021
"2007M09",17647,13716,59.38,31363
"2007M10",19236,14162,59.66,33398
"2007M11",16890,12601,60.08,29491
"2007M12",10274,9483,56.23,19757
"2008M01",14057,13779,61.72,27836
"2008M02",16502,9396,58.94,25898
"2008M03",14953,8944,59.47,23897
"2008M04",19051,10373,57.32,29424
"2008M05",18231,14727,58.59,32958
"2008M06",18881,15473,51.71,34354
"2008M07",22816,11411,31.24,34227
"2008M08",22973,15721,49.62,38694
"2008M09",16637,14818,61.17,31455
"2008M10",18277,12063,65.38,30340
"2008M11",16233,10516,63.45,26749
"2008M12",11193,8014,60.32,19207
"2009M01",14121,12113,56.67,26234
"2009M02",13182,7810,59.72,20992
"2009M03",15718,10218,61.51,25936
"2009M04",14027,9049,54.60,23076
"2009M05",17536,12821,63.20,30357
"2009M06",17518,13248,54.18,30766
"2009M07",20500,8944,30.06,29444
"2009M08",21348,13664,47.20,35012
"2009M09",16993,11904,61.80,28897
"2009M10",16813,11097,57.68,27910
"2009M11",14935,10725,63.28,25660
"2009M12",9836,8073,60.37,17909
"2010M01",9688,9491,54.65,19179
"2010M02",10041,6856,63.61,16897
"2010M03",12051,8904,60.68,20955
"2010M04",11650,5377,58.47,17027
"2010M05",13267,8102,60.56,21369
"2010M06",13140,11614,58.31,24754
"2010M07",15557,8746,34.18,24303
"2010M08",16971,12740,47.31,29711
"2010M09",14685,10528,66.87,25213
"2010M10",14414,10382,64.40,24796
"2010M11",14443,9739,67.89,24182
"2010M12",11079,6573,56.32,17652
"2011M01",12936,10252,56.51,23188
"2011M02",12811,7457,63.38,20268
"2011M03",15201,9272,65.70,24473
"2011M04",14859,8615,56.64,23474
"2011M05",17452,12272,64.69,29724
"2011M06",17090,15228,55.67,32318
"2011M07",21531,14774,29.08,36305
"2011M08",22597,19560,46.15,42157
"2011M09",18074,13927,56.55,32001
"2011M10",18063,12289,57.84,30352
"2011M11",17691,12209,63.31,29900
"2011M12",12685,9287,51.67,21972
"2012M01",15660,15594,52.15,31254
"2012M02",14572,10595,58.28,25167
"2012M03",16710,11932,58.87,28642
"2012M04",16109,10349,54.01,26458
"2012M05",20338,15987,60.82,36325
"2012M06",19608,17335,53.07,36943
"2012M07",21875,16290,29.89,38165
"2012M08",25299,18836,47.97,44135
"2012M09",17529,13255,64.92,30784
"2012M10",16535,9810,68.61,26345
"2012M11",16480,12603,66.15,29083
"2012M12",11209,7871,58.10,19080
"2013M01",12973,12607,58.19,25580
"2013M02",14103,7423,55.02,21526
"2013M03",14148,11035,62.46,25183
"2013M04",16227,10349,62.15,26576
"2013M05",19339,15394,57.11,34733
"2013M06",18346,17140,56.15,35486
"2013M07",22164,17745,31.63,39909
"2013M08",21706,19973,46.19,41679
"2013M09",17292,13056,61.06,30348
"2013M10",16699,11982,62.08,28681
"2013M11",17381,12220,61.19,29601
"2013M12",11057,9201,56.66,20258
"2014M01",12591,14676,55.05,27267
"2014M02",12392,8691,60.63,21083
"2014M03",14820,9744,62.92,24564
"2014M04",14197,7588,57.49,21785
"2014M05",17741,13272,60.85,31013
"2014M06",17524,17001,58.50,34525
"2014M07",19626,14713,32.64,34339
"2014M08",22352,20598,52.51,42950
"2014M09",16969,12013,63.71,28982
"2014M10",15813,12471,62.53,28284
"2014M11",17611,10788,62.57,28399
"2014M12",10236,6713,60.75,16949
"2015M01",16954,9843,55.17,26797
"2015M02",15827,7796,58.10,23623
"2015M03",16519,8606,65.85,25125
"2015M04",16994,7961,59.69,24955
"2015M05",20474,11817,62.32,32291
"2015M06",21345,13577,56.16,34922
"2015M07",20779,17158,34.66,37937
"2015M08",24546,15582,49.37,40128
"2015M09",20053,12415,60.17,32468
"2015M10",19505,11149,56.83,30654
"2015M11",19059,9284,64.22,28343
"2015M12",13417,7267,57.51,20684
"2016M01",14360,9446,55.14,23806
"2016M02",15339,7909,62.12,23248
"2016M03",16754,8028,59.76,24782
"2016M04",18724,8503,62.23,27227
"2016M05",19160,9985,62.64,29145
"2016M06",21515,12707,59.82,34222
"2016M07",20833,17119,43.19,37952
"2016M08",22756,16106,51.28,38862
"2016M09",17523,12116,66.22,29639
"2016M10",17048,10871,64.99,27919
"2016M11",12616,12110,71.13,24726
"2016M12",11466,5592,60.85,17058
"2017M01",12945,8562,65.46,21507
"2017M02",14002,9165,66.88,23167
"2017M03",15681,9861,68.99,25542
"2017M04",16083,9212,59.62,25295
